,Mkt-RF,SMB,HML,RMW,CMA,RF
20151008,0.84,0.34,0.76,0.57,0.75,0
20151009,0.12,0.1,-1.08,0.12,-0.17,0
20151012,0.06,-0.44,-0.07,-0.02,-0.1,0
20151013,-0.74,-0.67,0.69,0.28,0.2,0
20151014,-0.6,-0.25,-0.02,-0.34,0.38,0
20151015,1.56,0.61,-0.15,-1.15,-0.5,0
20151016,0.36,-0.55,-0.35,-0.01,0.01,0
20151019,0,0.09,-0.71,0.11,-0.35,0
20151020,-0.15,0.17,1.21,0.53,0.28,0
20151021,-0.74,-0.9,-0.18,0.36,0.22,0
20151022,1.5,-0.76,0.47,0.04,0.57,0
20151023,1.09,-0.09,-0.6,0.13,-0.84,0
20151026,-0.2,-0.47,-0.72,0.16,-0.19,0
20151027,-0.42,-1.06,-0.88,-0.47,-0.52,0
20151028,1.43,1.5,0.64,-0.69,-0.24,0
20151029,-0.2,-0.89,0.09,0.49,-0.2,0
20151030,-0.41,0.22,-0.54,0.42,0.09,0
20151102,1.25,0.9,-0.02,-0.47,-0.05,0
20151103,0.32,0.48,0.21,0.1,-0.09,0
20151104,-0.26,0.18,-0.33,-0.62,-0.7,0
20151105,-0.08,0.03,0.45,-0.04,0.13,0
20151106,0.14,0.86,0.29,-0.69,-0.16,0
20151109,-0.95,-0.27,-0.05,-0.7,-0.02,0
20151110,0.13,0.01,0.26,-0.1,0.19,0
20151111,-0.43,-0.57,-0.18,-0.17,0.05,0
20151112,-1.45,-0.56,-0.45,0.15,-0.27,0
20151113,-1.06,0.32,0.38,-0.5,0.43,0
20151116,1.39,-0.52,0.46,0.24,-0.13,0
20151117,-0.11,-0.24,-0.66,0,-0.17,0
20151118,1.61,-0.01,-0.08,-0.06,-0.39,0
20151119,-0.13,-0.28,-0.11,0.18,0.14,0
20151120,0.35,0.4,-0.41,0.26,0.02,0
20151123,-0.01,0.61,-0.36,0.06,-0.17,0
20151124,0.21,0.76,0.27,0.26,0.11,0
20151125,0.09,0.84,-0.55,-0.13,-0.11,0
20151127,0.09,0.19,-0.29,-0.21,0.07,0
20151130,-0.47,0.2,0.69,-0.2,0.09,0
20151201,0.97,-0.63,0.25,-0.12,-0.14,0
20151202,-1.01,0.18,-0.7,-0.03,-0.15,0
20151203,-1.5,-0.2,0.44,0.25,0.21,0
20151204,1.86,-1.07,-0.52,0.11,-0.34,0
20151207,-0.84,-0.88,-0.66,0.57,0.18,0
20151208,-0.59,0.26,-1.23,-0.2,-0.78,0
20151209,-0.83,-0.2,0.41,0.53,0.63,0
20151210,0.3,0.1,-0.22,0.18,-0.19,0
20151211,-2.03,-0.21,-0.06,0.08,0.35,0
20151214,0.29,-1.13,-0.19,0.05,-0.34,0
20151215,1.1,0.21,0.76,-0.76,0.13,0
20151216,1.47,0.01,-0.64,-0.11,-0.18,0
20151217,-1.46,0.3,-0.31,-0.28,-0.07,0
20151218,-1.7,0.69,-0.39,-0.39,0.2,0
20151221,0.74,-0.18,-0.05,-0.1,0.05,0
20151222,0.89,0.02,0.51,0.22,0.5,0
20151223,1.3,0.24,0.59,0.1,0.14,0
20151224,-0.11,0.27,-0.03,-0.21,0.08,0
20151228,-0.29,-0.54,-0.38,-0.01,-0.07,0
20151229,1.05,0.03,-0.31,0.02,-0.34,0
20151230,-0.74,-0.17,-0.13,0.01,0.15,0
20151231,-0.92,-0.2,0.24,-0.04,0.1,0
20160104,-1.59,-0.73,0.53,0.46,0.42,0
20160105,0.12,-0.25,0,0.01,0.33,0
20160106,-1.35,-0.23,-0.01,0,0.03,0
20160107,-2.44,-0.29,0.08,0.39,0.42,0
20160108,-1.11,-0.52,-0.03,0.23,0.05,0
20160111,-0.06,-0.63,0.34,0.56,0.44,0
20160112,0.71,-0.46,-0.77,-0.07,-0.3,0
20160113,-2.67,-0.59,0.78,0.23,0.68,0
20160114,1.65,-0.06,-0.41,-0.54,-0.47,0
20160115,-2.14,0.4,-0.21,0.31,0.33,0
20160119,-0.2,-1.38,-0.07,0.28,0.26,0
20160120,-0.94,1.67,-1.24,0.02,-0.55,0
20160121,0.45,-0.45,0.01,0.49,0.61,0
20160122,2.08,0.14,-0.19,-0.38,-0.76,0
20160125,-1.71,-0.52,-0.98,0.19,-0.01,0
20160126,1.52,0.59,1.22,0.65,0.71,0
20160127,-1.11,-0.38,1.72,-0.27,1.06,0
20160128,0.49,-0.57,1.27,-0.36,-0.5,0
20160129,2.57,0.59,0.37,0.18,0.47,0
20160201,-0.04,-0.32,-0.95,0.13,-0.39,0.001
20160202,-2,-0.14,-0.34,0.24,0.4,0.001
20160203,0.46,-0.22,0.44,0.5,0.39,0.001
20160204,0.27,0.38,0.33,0.24,0.13,0.001
20160205,-2.06,-0.73,1.75,1.09,1.43,0.001
20160208,-1.51,0.09,0.89,1.46,0.95,0.001
20160209,-0.1,-0.56,-0.29,-0.02,0.03,0.001
20160210,0.01,-0.21,-0.56,-0.24,-0.81,0.001
20160211,-1.17,0.28,-1.48,0.29,-0.4,0.001
20160212,1.98,-0.27,1.15,-0.37,0.32,0.001
20160216,1.78,0.55,-0.55,0.07,-0.26,0.001
20160217,1.75,-0.14,-0.63,-0.38,-0.49,0.001
20160218,-0.51,-0.02,0.21,0.25,0.52,0.001
20160219,0.06,0.3,-0.62,-0.65,-0.41,0.001
20160222,1.43,-0.17,0.24,0.24,-0.2,0.001
20160223,-1.22,0.37,-0.52,0.73,0.49,0.001
20160224,0.53,0.64,-0.32,0,0.12,0.001
20160225,1.1,-0.45,0.23,-0.1,-0.25,0.001
20160226,-0.01,0.85,0.26,-0.45,0.02,0.001
20160229,-0.69,0.71,0.26,0.12,0.44,0.001
20160301,2.34,-0.63,0.3,-0.49,-0.54,0.001
